date,temp_min,temp_max
2020-01-01,41.7,53.7
2020-01-02,38.0,53.7
2020-01-03,35.0,59.0
2020-01-04,37.0,54.7
2020-01-05,41.0,52.0
2020-01-06,44.3,54.7
2020-01-07,44.3,53.0
2020-01-08,43.3,50.7
2020-01-09,35.0,48.7
2020-01-11,42.0,51.0
2020-01-13,38.7,47.3
2020-01-14,35.0,44.3
2020-01-16,35.3,48.0
2020-01-17,34.7,46.0
2020-01-18,39.7,53.0
2020-01-19,42.7,57.0
2020-01-20,42.7,58.0
2020-01-21,41.3,54.3
2020-01-22,44.3,54.7
2020-01-23,48.0,57.0
2020-01-24,48.7,58.0
2020-01-25,48.7,58.0
2020-01-26,47.3,57.0
2020-01-27,46.3,56.3
2020-01-29,45.7,53.3
2020-01-30,45.3,56.7
2020-01-31,47.3,61.7
2020-02-01,44.0,57.0
2020-02-02,34.7,49.3
2020-02-03,32.3,46.7
2020-02-04,31.3,48.3
2020-02-05,37.0,50.7
2020-02-06,45.7,53.7
2020-02-07,45.3,54.3
2020-02-08,39.0,52.0
2020-02-09,32.0,49.7
2020-02-10,30.7,52.3
2020-02-11,30.3,53.7
2020-02-12,34.3,55.7
2020-02-13,35.7,52.0
2020-02-14,37.7,49.3
2020-02-15,38.7,50.7
2020-02-16,35.7,51.3
2020-02-17,32.0,53.7
2020-02-18,28.3,54.7
2020-02-19,29.0,61.7
2020-02-20,32.3,60.0
2020-02-21,32.3,56.3
2020-02-22,33.3,55.7
2020-02-23,36.7,54.7
2020-02-24,33.0,54.3
2020-02-25,30.0,59.0
2020-02-26,32.3,57.7
2020-02-27,33.3,58.3
2020-02-28,38.3,56.3
2020-02-29,36.0,52.0
2020-03-01,30.3,51.3
2020-03-02,32.7,54.3
2020-03-03,39.3,56.0
2020-03-04,37.3,58.0
2020-03-05,38.7,57.0
2020-03-06,40.0,50.0
2020-03-07,35.7,48.7
2020-03-08,33.3,53.0
2020-03-09,33.3,56.0
2020-03-10,31.7,58.0
2020-03-11,36.3,56.3
2020-03-12,32.7,54.3
2020-03-13,31.3,51.7
2020-03-14,34.3,47.3
2020-03-15,33.7,49.0
2020-03-16,32.0,53.7
2020-03-17,31.3,54.3
2020-03-18,35.3,54.7
2020-03-19,34.7,55.7
2020-03-20,34.0,55.7
2020-03-21,35.3,56.3
2020-03-22,36.3,53.3
2020-03-23,39.3,53.0
2020-03-24,39.0,50.3
2020-03-25,36.0,50.0
2020-03-26,33.7,52.7
2020-03-27,38.3,54.3
2020-03-28,43.0,56.0
2020-03-29,44.3,54.0
2020-03-31,42.3,52.0
2020-04-01,35.7,53.0
2020-04-02,34.7,51.3
2020-04-03,32.3,52.0
2020-04-04,34.0,51.0
2020-04-05,39.3,53.7
2020-04-06,42.3,54.0
2020-04-07,37.3,54.0
2020-04-08,35.3,57.3
2020-04-09,37.0,60.7
2020-04-10,43.7,58.7
2020-04-11,43.3,56.0
2020-04-12,33.7,58.3
2020-04-13,33.0,62.0
2020-04-14,33.0,62.0
2020-04-15,41.7,60.3
2020-04-16,42.0,70.7
2020-04-17,38.7,73.0
2020-04-18,43.7,62.3
2020-04-19,42.3,58.7
2020-04-20,41.0,57.7
2020-04-21,44.7,57.7
2020-04-22,46.0,60.7
2020-04-23,49.3,59.7
2020-04-24,50.0,63.7
2020-04-25,46.7,60.7
2020-04-26,44.0,58.7
2020-04-27,49.3,62.3
2020-04-28,50.7,64.7
2020-04-29,51.3,67.3
2020-04-30,43.3,62.3
2020-05-01,39.0,63.7
2020-05-02,42.3,60.3
2020-05-03,40.3,59.0
2020-05-04,38.7,62.3
2020-05-05,44.3,62.0
2020-05-06,43.0,61.3
2020-05-07,37.3,65.0
2020-05-08,41.3,71.0
2020-05-09,46.0,69.7
2020-05-10,51.0,64.3
2020-05-11,49.0,66.3
2020-05-12,50.0,63.0
2020-05-13,48.3,57.7
2020-05-14,47.0,59.3
2020-05-15,44.0,63.3
2020-05-16,47.0,69.0
2020-05-17,47.7,66.3
2020-05-18,48.3,63.3
2020-05-19,49.0,58.3
2020-05-20,49.0,59.7
2020-05-21,47.3,59.3
2020-05-22,43.3,60.0
2020-05-23,38.3,60.7
2020-05-24,42.7,65.3
2020-05-25,46.7,66.7
2020-05-26,52.3,66.3
2020-05-27,50.3,69.3
2020-05-28,47.3,68.7
2020-05-29,49.0,65.7
2020-05-30,50.0,60.0
2020-05-31,48.3,60.3
2020-06-01,40.7,62.3
2020-06-02,43.0,63.7
2020-06-03,44.7,64.0
2020-06-04,43.0,63.0
2020-06-05,49.0,63.0
2020-06-06,47.0,60.7
2020-06-07,45.0,59.0
2020-06-08,45.3,62.0
2020-06-09,49.7,68.0
2020-06-10,55.7,70.0
2020-06-11,55.0,68.7
2020-06-12,52.3,65.3
2020-06-13,49.0,63.3
2020-06-14,45.3,66.0
2020-06-15,50.3,64.0
2020-06-16,49.0,62.7
2020-06-17,46.7,64.7
2020-06-18,48.0,67.3
2020-06-19,52.3,68.7
2020-06-20,53.7,69.0
2020-06-21,53.0,65.3
2020-06-22,48.3,68.3
2020-06-23,50.7,73.7
2020-06-24,56.0,73.3
2020-06-26,52.0,67.7
2020-06-27,54.3,67.7
2020-06-28,53.0,64.7
2020-06-29,54.7,66.0
2020-06-30,53.7,65.7
2020-07-01,51.3,64.0
2020-07-02,47.3,66.7
2020-07-03,49.7,66.0
2020-07-04,49.3,68.3
2020-07-05,46.7,66.7
2020-07-06,52.7,66.7
2020-07-07,53.7,66.3
2020-07-08,53.7,69.3
2020-07-09,51.7,69.7
2020-07-10,53.3,70.0
2020-07-11,51.0,70.7
2020-07-12,49.7,71.3
2020-07-13,51.0,68.0
2020-07-14,50.7,65.0
2020-07-15,50.0,64.7
2020-07-16,53.0,68.0
2020-07-18,48.7,66.3
2020-07-19,50.0,66.7
2020-07-20,52.0,66.7
2020-07-21,53.3,66.0
2020-07-22,55.0,66.7
2020-07-23,53.3,68.0
2020-07-24,49.0,67.0
2020-07-26,49.0,71.7
2020-07-27,52.3,71.0
2020-07-28,52.7,67.3
2020-07-29,50.3,69.0
2020-07-30,51.7,71.7
2020-07-31,53.3,70.7
2020-08-01,53.3,71.0
2020-08-02,50.0,73.0
2020-08-03,54.3,74.0
2020-08-04,57.3,69.7
2020-08-05,56.7,68.3
2020-08-06,53.7,68.3
2020-08-07,47.7,69.0
2020-08-10,47.3,67.7
2020-08-11,48.0,69.7
2020-08-12,47.3,68.3
2020-08-13,47.0,67.0
2020-08-14,44.3,71.0
2020-08-15,48.0,86.7
2020-08-16,52.7,85.3
2020-08-17,57.3,74.0
2020-08-18,55.0,74.3
2020-08-19,53.5,68.0
2020-08-20,54.3,76.3
2020-08-21,57.3,76.7
2020-08-22,54.7,71.7
2020-08-23,51.3,68.3
2020-08-24,52.7,67.7
2020-08-25,50.7,68.3
2020-08-26,52.7,67.3
2020-08-27,51.0,66.7
2020-08-28,52.7,68.3
2020-08-30,45.3,67.0
2020-08-31,48.0,69.3
2020-09-01,49.0,71.7
2020-09-02,48.7,70.7
2020-09-03,50.3,67.0
